clone.id	gene.name	unigene.id	genbank.acc
768561	SCYA2	Hs.303649	AA425102
1858786	MGC4161	Hs.177688	AI224867
1492104	TUBB2	Hs.251653	AA888148
296797	FLJ20280	Hs.270134	N74086
815015	TERA	Hs.180780	AA465096
292399	CPS1	Hs.50966	N68399
858510		NA	NA
340742	KIAA0802	Hs.27657	W55875
267431	FYN	Hs.169370	N22980
148763		Hs.283978	H12784
774071	CLTH	Hs.7885	AA441930
416069	CHMP1.5	Hs.42733	W85875
781018	SMARCB1	Hs.159971	AA446018
840636		NA	NA
950916		Hs.130741	AA608725
136814		Hs.296323	R36085
302997	FLJ20036	Hs.32922	N91145
1292829	C11ORF5	Hs.121025	AA776702
