UpperName	miRGate.name	Accession	Name
HSA-MIR-31-5P	hsa-mir-31-5p	MIMAT0000089	hsa-miR-31-5p
HSA-MIR-31-3P	hsa-mir-31-3p	MIMAT0004504	hsa-miR-31-3p
HSA-MIR-876-5P	hsa-mir-876-5p	MIMAT0004924	hsa-miR-876-5p
HSA-MIR-876-3P	hsa-mir-876-3p	MIMAT0004925	hsa-miR-876-3p
HSA-MIR-873-5P	hsa-mir-873-5p	MIMAT0004953	hsa-miR-873-5p
HSA-MIR-7-5P	hsa-mir-7-5p	MIMAT0000252	hsa-miR-7-5p
HSA-LET-7A-3P	hsa-let-7a-3p	MIMAT0004481	hsa-let-7a-3p
HSA-LET-7F-1-3P	hsa-let-7f-1-3p	MIMAT0004486	hsa-let-7f-1-3p
HSA-MIR-27B-3P	hsa-mir-27b-3p	MIMAT0000419	hsa-miR-27b-3p
HSA-MIR-3074-3P	hsa-mir-3074-3p	MIMAT0015027	hsa-miR-3074-3p
HSA-MIR-3074-5P	hsa-mir-3074-5p	MIMAT0019208	hsa-miR-3074-5p
HSA-MIR-32-3P	hsa-mir-32-3p	MIMAT0004505	hsa-miR-32-3p
HSA-MIR-181B-5P	hsa-mir-181b-5p	MIMAT0000257	hsa-miR-181b-5p
HSA-MIR-126-3P	hsa-mir-126-3p	MIMAT0000445	hsa-miR-126-3p
HSA-MIR-651-5P	hsa-mir-651-5p	MIMAT0003321	hsa-miR-651-5p
HSA-MIR-651-3P	hsa-mir-651-3p	MIMAT0026624	hsa-miR-651-3p
HSA-MIR-221-5P	hsa-mir-221-5p	MIMAT0004568	hsa-miR-221-5p
HSA-MIR-222-3P	hsa-mir-222-3p	MIMAT0000279	hsa-miR-222-3p
HSA-MIR-500A-5P	hsa-mir-500a-5p	MIMAT0004773	hsa-miR-500a-5p
HSA-MIR-362-3P	hsa-mir-362-3p	MIMAT0004683	hsa-miR-362-3p
HSA-MIR-98-3P	hsa-mir-98-3p	MIMAT0022842	hsa-miR-98-3p
HSA-MIR-223-5P	hsa-mir-223-5p	MIMAT0004570	hsa-miR-223-5p
HSA-MIR-223-3P	hsa-mir-223-3p	MIMAT0000280	hsa-miR-223-3p
HSA-MIR-374B-5P	hsa-mir-374b-5p	MIMAT0004955	hsa-miR-374b-5p
HSA-MIR-374B-3P	hsa-mir-374b-3p	MIMAT0004956	hsa-miR-374b-3p
HSA-MIR-374A-5P	hsa-mir-374a-5p	MIMAT0000727	hsa-miR-374a-5p
HSA-MIR-361-5P	hsa-mir-361-5p	MIMAT0000703	hsa-miR-361-5p
HSA-MIR-652-5P	hsa-mir-652-5p	MIMAT0022709	hsa-miR-652-5p
HSA-MIR-766-3P	hsa-mir-766-3p	MIMAT0003888	hsa-miR-766-3p
