UpperName	miRGate.name	Accession	Name
HSA-MIR-298	hsa-mir-298	MIMAT0004901	hsa-miR-298
HSA-MIR-300	hsa-mir-300	MIMAT0004903	hsa-miR-300
HSA-MIR-302F	hsa-mir-302f	MIMAT0005932	hsa-miR-302f
HSA-MIR-3064-3P	hsa-mir-3064-3p	MIMAT0019865	hsa-miR-3064-3p
HSA-MIR-3064-5P	hsa-mir-3064-5p	MIMAT0019864	hsa-miR-3064-5p
HSA-MIR-3065-3P	hsa-mir-3065-3p	MIMAT0015378	hsa-miR-3065-3p
HSA-MIR-30B-3P	hsa-mir-30b-3p	MIMAT0004589	hsa-miR-30b-3p
HSA-MIR-30C-1-3P	hsa-mir-30c-1-3p	MIMAT0004674	hsa-miR-30c-1-3p
HSA-MIR-30C-2-3P	hsa-mir-30c-2-3p	MIMAT0004550	hsa-miR-30c-2-3p
HSA-MIR-3118	hsa-mir-3118	MIMAT0014980	hsa-miR-3118
HSA-MIR-3121-3P	hsa-mir-3121-3p	MIMAT0014983	hsa-miR-3121-3p
HSA-MIR-3121-5P	hsa-mir-3121-5p	MIMAT0019199	hsa-miR-3121-5p
HSA-MIR-3122	hsa-mir-3122	MIMAT0014984	hsa-miR-3122
HSA-MIR-3124-5P	hsa-mir-3124-5p	MIMAT0014986	hsa-miR-3124-5p
HSA-MIR-3127-3P	hsa-mir-3127-3p	MIMAT0019201	hsa-miR-3127-3p
HSA-MIR-3127-5P	hsa-mir-3127-5p	MIMAT0014990	hsa-miR-3127-5p
HSA-MIR-3130-5P	hsa-mir-3130-5p	MIMAT0014995	hsa-miR-3130-5p
HSA-MIR-3131	hsa-mir-3131	MIMAT0014996	hsa-miR-3131
HSA-MIR-3132	hsa-mir-3132	MIMAT0014997	hsa-miR-3132
HSA-MIR-3136-3P	hsa-mir-3136-3p	MIMAT0019203	hsa-miR-3136-3p
HSA-MIR-3138	hsa-mir-3138	MIMAT0015006	hsa-miR-3138
HSA-MIR-3140-3P	hsa-mir-3140-3p	MIMAT0015008	hsa-miR-3140-3p
HSA-MIR-3141	hsa-mir-3141	MIMAT0015010	hsa-miR-3141
HSA-MIR-3142	hsa-mir-3142	MIMAT0015011	hsa-miR-3142
HSA-MIR-3143	hsa-mir-3143	MIMAT0015012	hsa-miR-3143
HSA-MIR-3144-5P	hsa-mir-3144-5p	MIMAT0015014	hsa-miR-3144-5p
